Name,Current Company/Employer,Past Companies,Description,Key Areas of Interest/Expertise,In what capacity do you want to help out?,Advisor Location.,Berkeley SkyDeck or Milano,id
Steve Goldberg,Finistere Ventures,"Hewlett Packard, Nokia, Trimble Navigation, Venrock","Long time engineer turned manager, VP, CEO, board member, venture capitalist; focused on signal processing, IoT, wireless, telematics","Wireless, IoT, Signal Processing, Telematics, Automotive, Security",Mentor,USA/Canada,Berkeley Skydeck,recVdYD9SNONZQYZe
August Fern,Baruch Future Ventures,"Ajax Strategies, CMEA Capital, Nth Power",spent nearly 20 years helping family offices and venture funds invest in companies tackling climate change with clean energy and sustainable technologies.  ,Venture investing in Climate Tech,Mentor,USA/Canada,Berkeley Skydeck,recVlL41vNi6q4sDE
Julian Yao,Uber ,"7wireVentures (Digital Health tech VC), Covera Health (radiology AI startup), Accenture","I am a digital health operator and investor. I've built and launched health tech products at early-stage startups and large tech orgs, and invested in digital health startups focused on improving patient outcomes and experiences.  Previously, I was a founding team member at Covera Health, a clinical AI startup that partners with providers to reduce misdiagnoses in radiology. Over 3+ years, I helped grow Covera from a seed-funded team to a 100+ person, Series C company backed by Insight Partners, including leading the discovery, design, and launch of our first product that improved radiology care for over 1M members across the US.","Health Tech, Digital Health, Product Management + Ops in Healthcare",Advisor,USA/Canada,Berkeley Skydeck,recVoM9ikjO7CfREE
Andreas Otto,Albelli Photobox Group,"The Boston Consulting Group (BCG), Rocket Internet, Seven Ventures, The Iconic","Entrepreneurial leader with extensive international vita. 20 years of professional experience in the businesses-to-consumer space as a marketeer, strategy consultant, advisor, investor, entrepreneur and CEO. Former BCG project leader and founder of two VC-backed startups, raising over 30m Euro. Currently leading Private Equity-owned PosterXXL as CEO and Albelli Photobox Group as Chief Commercial Officer.","Entrepreneurship, B2C, Consumer Goods, Startup, Scale Up",Mentor,Europe,"SkyDeck Europe, Milano",recVxTR4I3p9oXqeG
Eric Brook,Ayuh / Prithvi Ventures,"Big Rock Partners (SF-based family office with ~$100MM AUM), Ceres Group Holdings (LA-based agriculture venture fund with $15MM AUM)","Over the course of my career, I have had the privilege of working with prominent venture capital firms and investment groups, including Prithvi Ventures, Ayuh Ventures, and Big Rock Partners. These experiences have afforded me the opportunity to source and evaluate investment opportunities, conduct thorough due diligence, and provide strategic guidance to portfolio companies. At Prithvi Ventures and Ayuh Ventures, I played a pivotal role in identifying and investing in companies at the forefront of health and climate technologies. Through my diligence and expertise, I successfully deployed over $30 million across 51 companies. Notable investments include Amprius, Beckley Psytech, and TurtleTree Labs, each addressing critical challenges in their respective fields. These experiences have equipped me with a deep understanding of the startup ecosystem and a track record of identifying high- potential investments. During my tenure at Big Rock Partners, I was responsible for managing the investment process for a diverse portfolio of companies. By providing comprehensive financial analysis, strategic guidance, and operational support, I contributed to the growth and success of 14 portfolio companies. Additionally, I led corporate and business development initiatives, driving partnerships and revenue growth in highly competitive markets","Human and Planetary Health, Climate Tech, Biotech",Advisor,USA/Canada,Berkeley Skydeck,recW1TuSnkyNurmoI
Alec Randall,Sivo,"Sivo, DayTwo, Consensys, LendingClub, Episteme, Schwab, OpenLane (acquired), Wells Fargo, Software Prototype Technologies (acquired), Greenlight (acquired)","I have experience across multiple functions (product, marketing, strategy, operations) at larger companies and startups. Currently I lead sales, marketing and partnerships at Sivo. Sivo received the highest valuation of its batch graduating from Y Combinator (W21).","Product, marketing, strategy, operations",Advisor,USA/Canada,Berkeley Skydeck,recWCCpsKYyDsCGRl
Maria Cristina Borelli,just retired from Synopsys,"Cadence, Etnoteam, Italtel ",I have more than 25 years experience in Electronic design (including working with Alberto SV on his lab in Rome)  and before that 10 years in Information Technology and software engineering. ,"BD/Sales, EDA, AI, Semiconductor, Software Engineering",Advisor,Europe,"SkyDeck Europe, Milano",recWCWTl141LmwFRP
Ethan Goh,Ather Ventures ,"NHS, Singhealth, Ather Ventures ","I’m a practicing clinician with 10+ years of healthcare industry experience in Europe and Asia. My clinical interests are within Family Medicine, Internal Medicine, and Sport Medicine. I have a background in public health policy. As a former start-up founder myself, I have extensive experience advising digital health companies. I’m also founding partner of a health-focused venture studio that invests in start-ups tackling global health issues. In a mentor role, I assist start-up founders with developing a strong business model around their solution and growth hacking.","Go to market, strategy, Business Model development, clinical consulting. ",Advisor,,Berkeley Skydeck,recWKN2wBjeW1kAzg
Ryan Stone,Cadence Design Systems,"Cooley, Kirkland & Ellis, Microsoft, US Marine Corps","Currently, work in the corporate development, strategy, and new ventures group. Focus on M&A, competitive analysis, equity investments, and strategic opportunities. Former corporate attorney with experiences in M&A, global trade, cybersecurity, and venture capital. Worked in international development in Ghana, India, Senegal, and Thailand, and was an intelligence officer with a security background in the Marines. ","M&A, strategy, competitive analysis, and financial planning and analysis.",Advisor,USA/Canada,Berkeley Skydeck,recWTegvh8wkbuYiA
Charlie Liu,Sora Union,"Franklin Templeton, Adyen, Strike","Charlie is a former global macro investor at Franklin Templeton, covering Latin American and African markets. Later, Charlie joined Adyen in the early stage, responsible for commercial and and product analytics for Adyen's core products and strategic clients. Before becoming an entrepreneur, Charlie ran operations and strategy Strike, a bitcoin lightning network startup and deeply involved in strategic initiatives such as the El Salvador project. Charlie is also the writer of Fintechnize on Substack, a blog subscribed by global fintech and crypto executives, entrepreneurs, and investors. ","Fintech, Crypto, Startup, Investments, Global Markets, Wine Making, Music, Edtech",Advisor,USA/Canada,Berkeley Skydeck,recWogCmXpB22Zdki
Patrick Kremer,Mtivity Inc,"DN Capital, Sybase, IBM, Macromedia (via acquisition), Adobe (via acquisition)","My entire career has been in tech beginning with IBM after I graduated from UC Davis. I then joined Sybase and several Silicon Valley VC backed start ups that either went public or were acquired. After getting my Masters at London Business School, I worked at a VC investing in pan European technology companies - my first investment was Shazam (music recognition). I later helped Mtivity, a London based B2B SaaS raised seed capital and eventually joined as CEO with a $7m round from UK institutional investors. In total, we raised $23m in funding. Due to the Credit Crunch, our investors were closing down their funds and I lead a buyout of Mtivity and have been Owner/CEO since 2014. As CEO since pre-revenue, I have managed all aspects of company and product formation, launch, hiring, etc. We are a global company with offices in US, UK, and Sweden. My German wife and I now live in Santa Cruz, CA and have two teenage boys who are dual citizens. Our oldest is starting the Global BBA at EDHEC (SkyDeck partner) in Nice France in September. I will likely exit Mtivity in the next 24 months and keen to begin picking up new experiences. ","Mentoring, potentially investing, board. ",Mentor,USA/Canada,Berkeley Skydeck,recWtZmB8G1XltPB9
Mohammed Cherifi,Renault-Nissan-Mitsubishi Alliance,Cisco Systems," As a driven and highly effective Chief Product Officer | Head of Product, I excel by focusing on working in a matrix environment to deliver company vision, developing and managing product roadmap and identifying opportunities for innovative product growth.  A Berkeley-Haas graduate and active alumni network member.  A Forbes Technology Council member and contributor.  I am currently transitioning as an Entrepreneur in the Coaching/Consulting business. ","Product Management, Platform Management, Program Management, Agile Transformation, Business Coaching & Consulting, Partnerships.",Mentor,Europe,"SkyDeck Europe, Milano",recWvPaRMxPwkskUK
Paolo Pezzati,Idemia,"CESVIT Microelectronics (start-up), STMicroelectronics, Cadence Design Systems","Passionate about technologies changing people's lives for the better, I'm a Senior Executive with broad international experience in leading innovation and enabling sustainable business growth, both with start-ups and large companies. Proud co-founder of two startups (electronics, healthcare), I have been enjoying sharing my experience and knowledge with startups as business angel, co-founder and strategic advisor. Skill sets which could be of your help and support: - Unique blend of strong engineering and business skills. - Proven ability to lead innovative products, from engineering to market launch and successful customers adoption. - Successful in developing, selling and delivering differentiated SW services (SaaS, Cloud). - Experienced with HW/SW development process: specification, development, verification, beta programs, deployment, support. -Experienced with product roadmaps, business plans, P&L, sales forecast, KPI, M&A, Legal, sales contracts. - Excellent track record in establishing and managing international operations, overachieving sales quota.  Market Sectors: Electronics, Semiconductors, Digital Identity, Renewable Energy, Internet, B2B/B2C software (SaaS, Cloud, AI/ML). ","electronics, semiconductors, EDA, digital identity, renewable energy, Internet, B2B/B2C software",Advisor,Europe,"SkyDeck Europe, Milano",recWwi0CodDCuCyJ0
